,timestamp,open,high,low,close,volume,week,7d_mavg
6,2018-03-26,90.61,94.0,90.4,93.78,55031149,13,90.49214285714287
9,2018-03-21,92.93,94.05,92.21,92.48,23753263,12,91.32071428571427
10,2018-03-20,93.05,93.77,93.0,93.13,21787780,12,91.73071428571426
11,2018-03-19,93.74,93.9,92.11,92.89,31752589,12,92.29071428571426
12,2018-03-16,94.68,95.38,93.92,94.6,47329521,11,92.2535714285714
13,2018-03-15,93.53,94.58,92.83,94.18,26279014,11,92.67071428571425
14,2018-03-14,95.12,95.41,93.5,93.85,31576898,11,93.4735714285714
15,2018-03-13,97.0,97.24,93.97,94.41,34445391,11,94.29285714285712
16,2018-03-12,96.5,97.21,96.04,96.77,25333720,11,94.80285714285712
17,2018-03-09,95.29,96.54,95.0,96.54,36145524,10,95.12285714285713
24,2018-02-28,94.84,95.705,93.63,93.77,29314525,9,93.50285714285715
25,2018-02-27,95.74,95.84,94.2,94.2,25540755,9,93.71285714285716
26,2018-02-26,94.4,95.45,94.25,95.42,29760276,9,93.89000000000001
27,2018-02-23,92.75,94.07,92.36,94.06,25779955,8,93.66285714285716
32,2018-02-15,91.21,92.72,90.62,92.66,27407914,7,92.47357142857143
38,2018-02-07,90.49,91.77,89.2,89.61,40340551,6,89.12642857142858
39,2018-02-06,86.89,91.475,85.25,91.33,66157030,6,88.50928571428571
41,2018-02-02,93.64,93.97,91.5,91.78,47076959,5,89.47500000000001
42,2018-02-01,94.79,96.07,93.5813,94.26,46645657,5,90.34
43,2018-01-31,93.75,95.4,93.51,95.01,44284284,5,91.40428571428572
44,2018-01-30,93.3,93.66,92.1,92.74,34153798,5,91.91714285714285
45,2018-01-29,95.14,95.45,93.72,93.92,30409620,5,92.58142857142856
46,2018-01-26,93.12,94.06,92.58,94.06,26348999,4,93.47142857142856
72,2017-12-18,87.12,87.4999,86.23,86.38,21551076,51,86.0114285714286
73,2017-12-15,85.26,87.09,84.88,86.85,52430167,50,85.95571428571431
83,2017-12-01,83.6,84.81,83.22,84.26,29387325,48,83.05285714285716
84,2017-11-30,83.51,84.52,83.34,84.17,32998408,48,82.94142857142859
85,2017-11-29,84.71,84.9172,83.175,83.34,27358477,48,83.09571428571431
86,2017-11-28,84.07,85.06,84.02,84.88,21162639,48,83.31428571428576
87,2017-11-27,83.31,83.98,83.3,83.87,17603760,48,83.56571428571432
90,2017-11-21,82.74,83.84,82.74,83.72,21237454,47,83.5971428571429
93,2017-11-16,83.1,83.42,82.94,83.2,20659209,46,83.07285714285717
95,2017-11-14,83.5,84.1,82.98,84.05,18604034,46,83.16571428571433
96,2017-11-13,83.66,83.94,83.46,83.93,14080820,46,83.1414285714286
97,2017-11-10,83.79,84.095,83.23,83.87,19340435,45,83.2914285714286
98,2017-11-09,84.11,84.27,82.9,84.09,20924172,45,83.53571428571432
99,2017-11-08,84.14,84.61,83.83,84.56,18034170,45,83.6814285714286
